gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p,heldout_dataset
PAG1,GSE65682,42,51,5.87138014824405,6.51008720895098,5.853146424,6.6593280485,0.638707060706933,Up_in_Sepsis,0.783846872082166,2.73343467258225e-06,GSE236713
PAG1,GSE95233,22,51,7.83852871242424,9.24998185718954,7.87495026333334,9.31326135666667,1.4114531447653,Up_in_Sepsis,0.976827094474153,1.31192583927308e-10,GSE236713
RNF7,GSE137340,14,43,5.61069929341429,6.39777894723721,5.3953175766,6.376583135,0.787079653822923,Up_in_Sepsis,0.855481727574751,2.47165216210598e-05,GSE236713
RNF7,GSE54514,18,35,8.66498160319445,8.587293216,8.67237222275,8.5672457215,-0.0776883871944456,Down_in_Sepsis,0.417460317460317,0.33676180410244,GSE236713
RNF7,GSE57065,25,28,5.4610218,5.91776080357143,5.4420275,5.944405,0.456739003571428,Up_in_Sepsis,0.884285714285714,2.47186955689829e-07,GSE236713
RNF7,GSE65682,42,51,4.55187345577381,5.02949052395098,4.555753327,4.9585384575,0.477617068177171,Up_in_Sepsis,0.783846872082167,2.73343467258225e-06,GSE236713
RNF7,GSE95233,22,51,6.13917496022727,7.04198745240196,6.1500871875,7.0612210825,0.902812492174689,Up_in_Sepsis,0.977718360071301,1.21213677994709e-10,GSE236713
BST1,GSE137340,14,43,6.08161924814286,7.68685602265116,5.6359333255,7.943553308,1.60523677450831,Up_in_Sepsis,0.847176079734219,4.13098133247111e-05,GSE236713
BST1,GSE54514,18,35,8.64631027644444,8.50911121374286,8.555298805,8.435608864,-0.137199062701587,Down_in_Sepsis,0.415873015873016,0.327405769848281,GSE236713
BST1,GSE57065,25,28,7.069504,8.93347821428571,7.1417,8.98406,1.86397421428571,Up_in_Sepsis,1,2.21254562465821e-15,GSE236713
BST1,GSE65682,42,51,8.65141296726191,9.12904414731373,8.729827676,9.149806933,0.477631180051821,Up_in_Sepsis,0.711484593837535,0.000477095055252169,GSE236713
BST1,GSE95233,22,51,6.24204400181818,8.00595756294118,6.31344123,8.03846155,1.76391356112299,Up_in_Sepsis,0.99554367201426,2.41819260539641e-11,GSE236713
IL10,GSE137340,14,43,7.400438013,8.20294413719767,7.331801702,8.130449696,0.802506124197675,Up_in_Sepsis,0.877076411960133,5.81267228909064e-06,GSE236713
IL10,GSE54514,18,35,9.3612702025,9.3583498206,9.42679667525,9.390916825,-0.00292038190000099,Down_in_Sepsis,0.480952380952381,0.830638269796872,GSE236713
IL10,GSE57065,25,28,3.4014536,4.66862392857143,3.38691,4.534755,1.26717032857143,Up_in_Sepsis,0.978571428571428,1.51338120726622e-12,GSE236713
IL10,GSE65682,42,51,2.49251243707143,2.88937529939216,2.436297435,2.831393929,0.396862862320728,Up_in_Sepsis,0.751167133520075,3.33206979580799e-05,GSE236713
IL10,GSE95233,22,51,2.09511338636364,3.35605650882353,1.994026525,3.32369047,1.26094312245989,Up_in_Sepsis,0.973262032085562,1.79715761294967e-10,GSE236713
PLAC8,GSE137340,14,43,9.50413236196429,10.8667205607442,9.12706716375,11.102440615,1.3625881987799,Up_in_Sepsis,0.808970099667774,0.000339521427323367,GSE236713
PLAC8,GSE54514,18,35,11.5646157801111,11.4611277849,11.33166695,11.565847875,-0.103487995211111,Down_in_Sepsis,0.477777777777778,0.801741213878021,GSE236713
PLAC8,GSE57065,25,28,10.4193888,12.2227357142857,10.5448,12.44635,1.80334691428572,Up_in_Sepsis,0.947142857142857,2.65428035862123e-10,GSE236713
PLAC8,GSE65682,42,51,8.83717390174405,10.2396289822647,8.814006447125,10.3994887915,1.40245508052066,Up_in_Sepsis,0.903361344537815,2.62484976872325e-11,GSE236713
PLAC8,GSE95233,22,51,9.41185960409091,11.5791830217647,9.443754865,11.63772197,2.1673234176738,Up_in_Sepsis,0.99554367201426,2.41819260539641e-11,GSE236713
RAB32,GSE137340,14,43,7.5928564505,9.59114344293023,7.2368962545,9.895784111,1.99828699243023,Up_in_Sepsis,0.863787375415282,1.44528445939708e-05,GSE236713
RAB32,GSE54514,18,35,10.4369391865,10.3496064048,10.37408161,10.42857742,-0.0873327817000007,Down_in_Sepsis,0.467460317460318,0.707190731540373,GSE236713
RAB32,GSE57065,25,28,6.000942,7.41667107142857,6.01628,7.5485825,1.41572907142857,Up_in_Sepsis,1,2.21254562465821e-15,GSE236713
RAB32,GSE65682,42,51,7.59600823316667,8.18170541823529,7.645173017,8.204989823,0.585697185068628,Up_in_Sepsis,0.823996265172736,8.61185098001542e-08,GSE236713
RAB32,GSE95233,22,51,6.60147967840909,8.5823252122549,6.616895525,8.609942915,1.98084553384581,Up_in_Sepsis,1,1.60188706567253e-11,GSE236713
FBXO30,GSE137340,14,43,5.78085122692857,6.84026546437209,5.609534453,6.878514554,1.05941423744352,Up_in_Sepsis,0.835548172757475,8.18207367405696e-05,GSE236713
FBXO30,GSE54514,18,35,8.07124393525,8.13047505788572,7.975256443,8.135940552,0.0592311226357154,Up_in_Sepsis,0.557142857142857,0.508552086621423,GSE236713
