gene_symbol,global_logFC,global_adjP,global_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,max_auc,n_auc_ge_070,n_auc_ge_075,n_auc_ge_080,n_wilcox_p_lt_005,immune_GO_keyword_hit,score_direction,score_auc,score_min_auc,score_logfc,score_p,score_go,priority_score,passes_screening
ATP9A,1.4126702391796,2.03163635485997e-40,Up_in_Sepsis,6,6,1,0.857565675647755,0.907849390919158,0.585714285714286,0.997142857142857,5,5,4,5,FALSE,1,0.942937523051048,0.802173913043478,0.262498217744942,0.274657209881788,0,0.720047797521756,TRUE
FOLR3,1.78015161331748,5.15214348556505e-35,Up_in_Sepsis,6,6,1,0.823399787464904,0.845797342192691,0.632539682539683,0.92602495543672,5,5,4,5,FALSE,1,0.897932691200509,0.866304347826087,0.372526183379537,0.132981576787515,0,0.718502544719748,TRUE
HK3,1.55728356755882,1.46175166752652e-39,Up_in_Sepsis,6,6,1,0.854494234903264,0.870779623477298,0.561904761904762,1,5,5,5,5,FALSE,1,0.938891684303788,0.769565217391304,0.305797038977833,0.252189271112823,0,0.718190770857789,TRUE
STOM,1.20528458296677,2.02808543513599e-36,Up_in_Sepsis,6,6,1,0.862011174082036,0.849401776214362,0.663492063492063,1,5,5,5,5,FALSE,1,0.948793331875801,0.908695652173913,0.200404671076283,0.169812648069625,0,0.717984312857232,TRUE
CEP55,1.53013437706946,7.11156762906528e-35,Up_in_Sepsis,6,6,1,0.871023931057037,0.904583006535948,0.590476190476191,0.996434937611408,5,5,5,5,FALSE,1,0.960665337368497,0.808695652173913,0.297668272709941,0.129311912640657,0,0.717085381207193,TRUE
SORT1,1.2420298525285,3.2271980765543e-35,Up_in_Sepsis,6,6,1,0.856500811383985,0.839651827242525,0.66984126984127,1,5,5,4,6,FALSE,1,0.94153483634558,0.917391304347826,0.211406608973291,0.138307704691468,0,0.715610908370988,TRUE
PSMA6,0.904160943975404,3.00808455728103e-33,Up_in_Sepsis,6,6,1,0.807603590066517,0.809420667491803,0.617460317460317,0.990196078431372,4,4,3,5,TRUE,1,0.877125235413391,0.845652173913043,0.110244941265664,0.0866759896772314,1,0.715189736868546,TRUE
NDST2,0.781951656038461,3.97211793002998e-34,Up_in_Sepsis,6,6,1,0.833391686785121,0.898252048726467,0.577777777777778,0.982174688057041,4,4,4,5,TRUE,1,0.911094466664013,0.791304347826087,0.073654136180917,0.109726982390536,1,0.714044810839308,TRUE
MTF1,0.980723919903372,9.12268417340459e-34,Up_in_Sepsis,6,6,1,0.871528450290147,0.884609966777409,0.706349206349206,0.994285714285714,6,5,3,6,FALSE,1,0.961329912605938,0.967391304347826,0.133168738435107,0.100260328288562,0,0.713509013028078,TRUE
SIGLEC5,1.16657399808018,2.8675702241913e-40,Up_in_Sepsis,6,6,1,0.843179238808514,0.880448504983389,0.634920634920635,0.982174688057041,5,4,4,5,FALSE,1,0.923987066753429,0.869565217391304,0.188814296152958,0.270733493403678,0,0.713026396398036,TRUE
